Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Review Quantity,Check,Tax 5%, Total ,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
132-32-9879,B,Mandalay,Customer,Electronic accessories,93.96,4,4,,18.8%, $375.84 ,3/9/2019,6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5
370-41-7321,B,Mandalay,Customer,Health and beauty,56.69,9,9,,25.5%, $510.21 ,2/27/2019,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,B,Mandalay,Customer,Food and beverages,20.01,9,9,,9.0%, $180.09 ,2/6/2019,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,B,Mandalay,Customer,Electronic accessories,18.93,6,6,,5.7%, $113.58 ,2/10/2019,12:45:00 PM,Credit card,113.58,4.761904762,5.679,8.1
574-22-5561,C,Naypyitaw,Customer,Fashion accessories,82.63,10,10,,41.3%, $826.30 ,3/19/2019,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,C,Naypyitaw,Customer,Food and beverages,91.4,7,7,,32.0%, $639.80 ,2/3/2019,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5
162-48-8011,A,Yangon,Customer,Food and beverages,44.59,5,5,,11.1%, $222.95 ,2/10/2019,3:10:00 PM,Cash,222.95,4.761904762,11.1475,8.5
616-24-2851,B,Mandalay,Customer,Fashion accessories,17.87,4,4,,3.6%, $71.48 ,3/22/2019,2:42:00 PM,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,C,Naypyitaw,Customer,Fashion accessories,15.43,1,1,,0.8%, $15.43 ,1/25/2019,3:46:00 PM,Credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Home and lifestyle,16.16,2,2,,1.6%, $32.32 ,3/7/2019,11:49:00 AM,Ewallet,32.32,4.761904762,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Electronic accessories,85.98,8,8,,34.4%, $687.84 ,2/28/2019,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2
106-35-6779,A,Yangon,Customer,Home and lifestyle,44.34,2,2,,4.4%, $88.68 ,3/27/2019,11:26:00 AM,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,A,Yangon,Normal,Health and beauty,89.6,8,8,,35.8%, $716.80 ,2/7/2019,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,A,Yangon,Customer,Home and lifestyle,72.35,10,10,,36.2%, $723.50 ,1/20/2019,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Electronic accessories,30.61,6,6,,9.2%, $183.66 ,3/12/2019,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,C,Naypyitaw,Customer,Sports and travel,24.74,3,3,,3.7%, $74.22 ,2/15/2019,5:47:00 PM,Credit card,74.22,4.761904762,3.711,10
803-83-5989,C,Naypyitaw,Normal,Home and lifestyle,55.73,6,6,,16.7%, $334.38 ,2/24/2019,10:55:00 AM,Ewallet,334.38,4.761904762,16.719,7
347-34-2234,B,Mandalay,Customer,Sports and travel,55.07,9,9,,24.8%, $495.63 ,2/3/2019,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10
199-75-8169,A,Yangon,Customer,Sports and travel,15.81,10,10,,7.9%, $158.10 ,3/6/2019,12:27:00 PM,Credit card,158.1,4.761904762,7.905,8.6
853-23-2453,B,Mandalay,Customer,Health and beauty,75.74,4,4,,15.1%, $302.96 ,2/14/2019,2:35:00 PM,Cash,302.96,4.761904762,15.148,7.6
877-22-3308,A,Yangon,Customer,Health and beauty,15.87,10,10,,7.9%, $158.70 ,3/13/2019,4:40:00 PM,Cash,158.7,4.761904762,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Health and beauty,33.47,2,2,,3.3%, $66.94 ,2/10/2019,3:43:00 PM,Ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,B,Mandalay,Customer,Fashion accessories,97.61,6,6,,29.3%, $585.66 ,1/7/2019,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,A,Yangon,Normal,Sports and travel,78.77,10,10,,39.4%, $787.70 ,1/24/2019,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,A,Yangon,Customer,Health and beauty,18.33,1,1,,0.9%, $18.33 ,2/2/2019,6:50:00 PM,Cash,18.33,4.761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Food and beverages,89.48,10,10,,44.7%, $894.80 ,1/6/2019,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Fashion accessories,62.12,10,10,,31.1%, $621.20 ,2/11/2019,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9
510-95-6347,B,Mandalay,Customer,Food and beverages,48.52,3,3,,7.3%, $145.56 ,3/5/2019,6:17:00 PM,Ewallet,145.56,4.761904762,7.278,4
841-35-6630,C,Naypyitaw,Normal,Electronic accessories,75.91,6,6,,22.8%, $455.46 ,3/9/2019,6:21:00 PM,Cash,455.46,4.761904762,22.773,8.7
287-21-9091,A,Yangon,Normal,Home and lifestyle,74.67,9,9,,33.6%, $672.03 ,1/22/2019,10:55:00 AM,Ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Electronic accessories,41.65,10,10,,20.8%, $416.50 ,1/13/2019,5:04:00 PM,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,C,Naypyitaw,Customer,Fashion accessories,49.04,9,9,,22.1%, $441.36 ,1/9/2019,2:20:00 PM,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,A,Yangon,Customer,Fashion accessories,20.01,9,9,,9.0%, $180.09 ,1/12/2019,3:48:00 PM,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,C,Naypyitaw,Customer,Food and beverages,78.31,10,10,,39.2%, $783.10 ,3/5/2019,4:24:00 PM,Ewallet,783.1,4.761904762,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Health and beauty,20.38,5,5,,5.1%, $101.90 ,1/22/2019,6:56:00 PM,Cash,101.9,4.761904762,5.095,6
870-72-4431,C,Naypyitaw,Normal,Health and beauty,99.19,6,6,,29.8%, $595.14 ,1/21/2019,2:42:00 PM,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,B,Mandalay,Normal,Food and beverages,96.68,3,3,,14.5%, $290.04 ,1/26/2019,7:56:00 PM,Ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Food and beverages,19.25,8,8,,7.7%, $154.00 ,1/23/2019,6:37:00 PM,Ewallet,154,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Customer,Food and beverages,80.36,4,4,,16.1%, $321.44 ,2/23/2019,6:45:00 PM,Credit card,321.44,4.761904762,16.072,8.3
360-39-5055,C,Naypyitaw,Customer,Sports and travel,48.91,5,5,,12.2%, $244.55 ,3/9/2019,10:17:00 AM,Cash,244.55,4.761904762,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Sports and travel,83.06,7,7,,29.1%, $581.42 ,3/5/2019,2:31:00 PM,Ewallet,581.42,4.761904762,29.071,4
362-58-8315,C,Naypyitaw,Normal,Fashion accessories,76.52,5,5,,19.1%, $382.60 ,3/25/2019,10:23:00 AM,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Customer,Food and beverages,49.38,7,7,,17.3%, $345.66 ,3/27/2019,8:35:00 PM,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,A,Yangon,Normal,Sports and travel,42.47,1,1,,2.1%, $42.47 ,1/2/2019,4:57:00 PM,Cash,42.47,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Health and beauty,76.99,6,6,,23.1%, $461.94 ,2/27/2019,5:55:00 PM,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,C,Naypyitaw,Customer,Home and lifestyle,47.38,4,4,,9.5%, $189.52 ,1/23/2019,10:25:00 AM,Cash,189.52,4.761904762,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Sports and travel,44.86,10,10,,22.4%, $448.60 ,1/26/2019,7:54:00 PM,Ewallet,448.6,4.761904762,22.43,8.2
873-51-0671,A,Yangon,Customer,Sports and travel,21.98,7,7,,7.7%, $153.86 ,1/10/2019,4:42:00 PM,Ewallet,153.86,4.761904762,7.693,5.1
152-08-9985,B,Mandalay,Customer,Health and beauty,64.36,9,9,,29.0%, $579.24 ,3/12/2019,12:09:00 PM,Credit card,579.24,4.761904762,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Health and beauty,89.75,1,1,,4.5%, $89.75 ,2/6/2019,8:05:00 PM,Credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,A,Yangon,Normal,Electronic accessories,97.16,1,1,,4.9%, $97.16 ,3/8/2019,8:38:00 PM,Ewallet,97.16,4.761904762,4.858,7.2
766-85-7061,B,Mandalay,Normal,Health and beauty,87.87,10,10,,43.9%, $878.70 ,3/29/2019,10:25:00 AM,Ewallet,878.7,4.761904762,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Electronic accessories,12.45,6,6,,3.7%, $74.70 ,2/9/2019,1:11:00 PM,Cash,74.7,4.761904762,3.735,4.1
865-92-6136,A,Yangon,Normal,Food and beverages,52.75,3,3,,7.9%, $158.25 ,3/23/2019,10:16:00 AM,Ewallet,158.25,4.761904762,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Home and lifestyle,82.7,6,6,,24.8%, $496.20 ,3/5/2019,6:14:00 PM,Cash,496.2,4.761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Customer,Fashion accessories,48.71,1,1,,2.4%, $48.71 ,3/26/2019,7:20:00 PM,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Fashion accessories,78.55,9,9,,35.3%, $706.95 ,3/1/2019,1:22:00 PM,Cash,706.95,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Electronic accessories,23.07,9,9,,10.4%, $207.63 ,2/1/2019,11:27:00 AM,Cash,207.63,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Normal,Food and beverages,58.26,6,6,,17.5%, $349.56 ,3/28/2019,4:44:00 PM,Cash,349.56,4.761904762,17.478,9.9
716-39-1409,B,Mandalay,Normal,Health and beauty,30.35,7,7,,10.6%, $212.45 ,3/19/2019,6:19:00 PM,Cash,212.45,4.761904762,10.6225,8
704-48-3927,A,Yangon,Customer,Electronic accessories,88.67,10,10,,44.3%, $886.70 ,1/12/2019,2:50:00 PM,Ewallet,886.7,4.761904762,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Fashion accessories,27.38,6,6,,8.2%, $164.28 ,1/5/2019,8:54:00 PM,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,A,Yangon,Normal,Sports and travel,62.13,6,6,,18.6%, $372.78 ,3/22/2019,8:19:00 PM,Cash,372.78,4.761904762,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Food and beverages,33.98,9,9,,15.3%, $305.82 ,3/24/2019,10:43:00 AM,Cash,305.82,4.761904762,15.291,4.2
861-77-0145,C,Naypyitaw,Customer,Electronic accessories,81.97,10,10,,41.0%, $819.70 ,3/3/2019,2:30:00 PM,Cash,819.7,4.761904762,40.985,9.2
479-26-8945,B,Mandalay,Customer,Sports and travel,16.49,2,2,,1.6%, $32.98 ,2/5/2019,11:32:00 AM,Ewallet,32.98,4.761904762,1.649,4.6
210-67-5886,C,Naypyitaw,Customer,Health and beauty,98.21,3,3,,14.7%, $294.63 ,2/5/2019,10:41:00 AM,Credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Fashion accessories,72.84,7,7,,25.5%, $509.88 ,2/15/2019,12:44:00 PM,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,A,Yangon,Customer,Home and lifestyle,58.07,9,9,,26.1%, $522.63 ,1/19/2019,8:07:00 PM,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Customer,Home and lifestyle,80.79,9,9,,36.4%, $727.11 ,2/1/2019,8:31:00 PM,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Fashion accessories,27.02,3,3,,4.1%, $81.06 ,3/2/2019,1:01:00 PM,Credit card,81.06,4.761904762,4.053,7.1
291-32-1427,B,Mandalay,Customer,Fashion accessories,21.94,5,5,,5.5%, $109.70 ,3/5/2019,12:29:00 PM,Ewallet,109.7,4.761904762,5.485,5.3
659-65-8956,B,Mandalay,Customer,Fashion accessories,51.36,1,1,,2.6%, $51.36 ,1/16/2019,3:26:00 PM,Ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,A,Yangon,Normal,Food and beverages,10.96,10,10,,5.5%, $109.60 ,2/2/2019,8:48:00 PM,Ewallet,109.6,4.761904762,5.48,6
378-24-2715,B,Mandalay,Normal,Home and lifestyle,53.44,2,2,,5.3%, $106.88 ,1/20/2019,8:38:00 PM,Ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,A,Yangon,Normal,Electronic accessories,99.56,8,8,,39.8%, $796.48 ,2/14/2019,5:03:00 PM,Credit card,796.48,4.761904762,39.824,5.2
659-36-1684,C,Naypyitaw,Customer,Sports and travel,57.12,7,7,,20.0%, $399.84 ,1/12/2019,12:02:00 PM,Credit card,399.84,4.761904762,19.992,6.5
219-22-9386,B,Mandalay,Customer,Sports and travel,99.96,9,9,,45.0%, $899.64 ,3/9/2019,5:26:00 PM,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,C,Naypyitaw,Customer,Home and lifestyle,63.91,8,8,,25.6%, $511.28 ,3/13/2019,7:52:00 PM,Credit card,511.28,4.761904762,25.564,4.6
268-27-6179,B,Mandalay,Customer,Fashion accessories,56.47,8,8,,22.6%, $451.76 ,3/9/2019,2:57:00 PM,Ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,A,Yangon,Normal,Home and lifestyle,93.69,7,7,,32.8%, $655.83 ,3/10/2019,6:44:00 PM,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,A,Yangon,Normal,Sports and travel,32.25,5,5,,8.1%, $161.25 ,1/27/2019,1:26:00 PM,Cash,161.25,4.761904762,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Fashion accessories,31.73,9,9,,14.3%, $285.57 ,1/8/2019,4:17:00 PM,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,C,Naypyitaw,Customer,Food and beverages,68.54,8,8,,27.4%, $548.32 ,1/8/2019,3:57:00 PM,Ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,B,Mandalay,Normal,Sports and travel,90.28,9,9,,40.6%, $812.52 ,2/8/2019,11:15:00 AM,Ewallet,812.52,4.761904762,40.626,7.2
191-10-6171,B,Mandalay,Normal,Fashion accessories,39.62,7,7,,13.9%, $277.34 ,1/25/2019,1:18:00 PM,Cash,277.34,4.761904762,13.867,7.5
802-70-5316,A,Yangon,Customer,Sports and travel,92.13,6,6,,27.6%, $552.78 ,3/6/2019,8:34:00 PM,Cash,552.78,4.761904762,27.639,8.3
695-51-0018,B,Mandalay,Normal,Sports and travel,34.84,4,4,,7.0%, $139.36 ,2/10/2019,6:36:00 PM,Cash,139.36,4.761904762,6.968,7.4
590-83-4591,B,Mandalay,Customer,Electronic accessories,87.45,6,6,,26.2%, $524.70 ,2/17/2019,2:40:00 PM,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Health and beauty,81.3,6,6,,24.4%, $487.80 ,3/8/2019,4:43:00 PM,Ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Fashion accessories,90.22,3,3,,13.5%, $270.66 ,2/18/2019,7:39:00 PM,Cash,270.66,4.761904762,13.533,6.2
700-81-1757,A,Yangon,Normal,Electronic accessories,26.31,5,5,,6.6%, $131.55 ,1/18/2019,8:59:00 PM,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Customer,Home and lifestyle,34.42,6,6,,10.3%, $206.52 ,2/18/2019,3:39:00 PM,Cash,206.52,4.761904762,10.326,9.8
241-72-9525,B,Mandalay,Normal,Sports and travel,51.91,10,10,,26.0%, $519.10 ,2/16/2019,12:21:00 PM,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,A,Yangon,Normal,Sports and travel,72.5,8,8,,29.0%, $580.00 ,3/16/2019,7:25:00 PM,Ewallet,580,4.761904762,29,9.2
731-81-9469,C,Naypyitaw,Customer,Sports and travel,89.8,10,10,,44.9%, $898.00 ,1/23/2019,1:00:00 PM,Credit card,898,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Customer,Health and beauty,90.5,10,10,,45.3%, $905.00 ,1/25/2019,1:48:00 PM,Cash,905,4.761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Customer,Health and beauty,68.6,10,10,,34.3%, $686.00 ,2/5/2019,7:57:00 PM,Cash,686,4.761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Customer,Food and beverages,30.41,1,1,,1.5%, $30.41 ,2/22/2019,10:36:00 AM,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Normal,Home and lifestyle,77.95,6,6,,23.4%, $467.70 ,1/21/2019,4:37:00 PM,Ewallet,467.7,4.761904762,23.385,8
458-41-1477,C,Naypyitaw,Normal,Health and beauty,46.26,6,6,,13.9%, $277.56 ,3/8/2019,5:11:00 PM,Credit card,277.56,4.761904762,13.878,9.5
685-64-1609,A,Yangon,Customer,Fashion accessories,30.14,10,10,,15.1%, $301.40 ,2/10/2019,12:28:00 PM,Ewallet,301.4,4.761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Health and beauty,66.14,4,4,,13.2%, $264.56 ,3/19/2019,12:46:00 PM,Credit card,264.56,4.761904762,13.228,5.6
262-47-2794,B,Mandalay,Customer,Home and lifestyle,71.86,8,8,,28.7%, $574.88 ,3/6/2019,3:07:00 PM,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,A,Yangon,Normal,Health and beauty,32.46,8,8,,13.0%, $259.68 ,3/27/2019,1:48:00 PM,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,B,Mandalay,Customer,Fashion accessories,91.54,4,4,,18.3%, $366.16 ,3/23/2019,7:20:00 PM,Credit card,366.16,4.761904762,18.308,4.8
584-86-7256,C,Naypyitaw,Customer,Sports and travel,34.56,7,7,,12.1%, $241.92 ,3/11/2019,4:07:00 PM,Credit card,241.92,4.761904762,12.096,7.3
746-94-0204,A,Yangon,Normal,Fashion accessories,83.24,9,9,,37.5%, $749.16 ,1/29/2019,11:56:00 AM,Credit card,749.16,4.761904762,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Food and beverages,16.48,6,6,,4.9%, $98.88 ,2/7/2019,6:23:00 PM,Ewallet,98.88,4.761904762,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Sports and travel,80.97,8,8,,32.4%, $647.76 ,1/28/2019,1:05:00 PM,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,A,Yangon,Customer,Food and beverages,92.29,5,5,,23.1%, $461.45 ,2/20/2019,3:55:00 PM,Credit card,461.45,4.761904762,23.0725,9
279-74-2924,B,Mandalay,Customer,Electronic accessories,72.17,1,1,,3.6%, $72.17 ,1/4/2019,7:40:00 PM,Cash,72.17,4.761904762,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Home and lifestyle,50.28,5,5,,12.6%, $251.40 ,3/7/2019,1:58:00 PM,Ewallet,251.4,4.761904762,12.57,9.7
743-04-1105,B,Mandalay,Customer,Health and beauty,97.22,9,9,,43.7%, $874.98 ,3/30/2019,2:43:00 PM,Ewallet,874.98,4.761904762,43.749,6
